event_name,clip_count,engaged_rate
knock,171,0.1871345029239766
highlights,10498,0.0757287102305201
Kill streak,136,0.0661764705882353
Killstreak,8747,0.05464730764833657
Kill-Knock,113,0.05309734513274336
